time,open,high,low,close,tick_volume,spread,real_volume
2026-03-09 13:30:00,5099.32,5100.22,5089.04,5095.8,3847,11,0
2026-03-09 13:45:00,5095.7,5096.55,5083.89,5087.24,3702,11,0
2026-03-09 14:00:00,5087.24,5097.37,5087.22,5090.46,3335,11,0
2026-03-09 14:15:00,5090.41,5092.54,5080.12,5085.78,3653,11,0
2026-03-09 14:30:00,5085.87,5093.14,5082.18,5085.81,3488,11,0
2026-03-09 14:45:00,5085.77,5094.55,5084.18,5088.04,2955,11,0
2026-03-09 15:00:00,5088.22,5099.86,5088.22,5096.28,3371,11,0
2026-03-09 15:15:00,5096.28,5110.18,5094.53,5109.56,3333,11,0
2026-03-09 15:30:00,5109.53,5112.16,5103.9,5106.85,3205,11,0
2026-03-09 15:45:00,5106.99,5107.02,5093.44,5095.01,3444,11,0
2026-03-09 16:00:00,5095.01,5099.33,5088.1,5092.63,5161,11,0
2026-03-09 16:15:00,5092.55,5098.36,5084.64,5094.78,4736,11,0
2026-03-09 16:30:00,5094.78,5111.37,5074.57,5076.26,7476,11,0
2026-03-09 16:45:00,5075.78,5084.65,5067.36,5074.06,7449,11,0
2026-03-09 17:00:00,5073.99,5088.46,5061.02,5071.44,7435,11,0
2026-03-09 17:15:00,5071.46,5084.31,5064.78,5081.69,7189,11,0
2026-03-09 17:30:00,5081.58,5114.59,5079.94,5112.56,6591,11,0
2026-03-09 17:45:00,5112.56,5116.09,5085.92,5093.88,6112,11,0
2026-03-09 18:00:00,5093.93,5094.6,5079.56,5091.81,5993,11,0
2026-03-09 18:15:00,5091.81,5100.35,5082.12,5099.64,4953,11,0
2026-03-09 18:30:00,5099.64,5102.64,5093.04,5094.99,4654,11,0
2026-03-09 18:45:00,5094.98,5103.5,5094.27,5099.7,4350,11,0
2026-03-09 19:00:00,5099.87,5109.41,5097.01,5103.5,4430,11,0
2026-03-09 19:15:00,5103.48,5105.42,5094.75,5103.93,4695,11,0
2026-03-09 19:30:00,5104.16,5110.75,5102.86,5107.38,4396,11,0
2026-03-09 19:45:00,5107.38,5108.81,5103.17,5104.75,3918,11,0
2026-03-09 20:00:00,5104.73,5106.87,5098.43,5099.98,3720,11,0
2026-03-09 20:15:00,5099.99,5102.4,5091.18,5095.12,4416,11,0
2026-03-09 20:30:00,5095.12,5097.99,5089.05,5090.77,4488,11,0
2026-03-09 20:45:00,5090.77,5099.61,5090.69,5095.91,3819,11,0
2026-03-09 21:00:00,5095.91,5098.08,5092.49,5097.6,3412,11,0
2026-03-09 21:15:00,5097.6,5107.07,5096.72,5105.11,3291,11,0
2026-03-09 21:30:00,5105.11,5120.19,5104.35,5118.05,3623,11,0
